BOOK_ID,last_name,first_name,title,Date,url
2690,Smith,Constance,A Cumberer Of The Ground,1894,"https://archive.org/details/texts?&and[]=A%20Cumberer%20Of%20The%20Ground&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2691,Smith,Elizabeth,Fragments In Prose And Verse By Miss Elizabeth Smith With Some Account Of Her Life And Character By H M Bowdler,1809,"https://archive.org/details/texts?&and[]=Fragments%20In%20Prose%20And%20Verse%20By%20Miss%20Elizabeth%20Smith%20With%20Some%20Account%20Of%20Her%20Life%20And%20Character%20By%20H%20M%20Bowdler&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2692,Smith,Horatio,Adam Brown The Merchant,1843,"https://archive.org/details/texts?&and[]=Adam%20Brown%20The%20Merchant&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2693,Smith,Horatio,Gale Middleton A Story Of The Present Day,1833,"https://archive.org/details/texts?&and[]=Gale%20Middleton%20A%20Story%20Of%20The%20Present%20Day&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2694,Smith,Horatio,Jane Lomax Or A Mothers Crime,1838,"https://archive.org/details/texts?&and[]=Jane%20Lomax%20Or%20A%20Mothers%20Crime&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2695,Smith,Horatio,The New Forest A Novel,1829,"https://archive.org/details/texts?&and[]=The%20New%20Forest%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2696,Smith,Horatio,Zillah A Tale Of The Holy City,1828,"https://archive.org/details/texts?&and[]=Zillah%20A%20Tale%20Of%20The%20Holy%20City&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2697,Smith,Seba,John Smiths Pseud Letters With Picters To Match,1839,"https://archive.org/details/texts?&and[]=John%20Smiths%20Pseud%20Letters%20With%20Picters%20To%20Match&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2698,Smith,Seba,May Day In New York Or House Hunting And Movin,1845,"https://archive.org/details/texts?&and[]=May%20Day%20In%20New%20York%20Or%20House%20Hunting%20And%20Movin&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2699,Smith,Seba,My Thirty Years Out Of The Senate,1859,"https://archive.org/details/texts?&and[]=My%20Thirty%20Years%20Out%20Of%20The%20Senate&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2700,Smith,Seba,The Life And Writings Of Major Jack Downing Pseud Ofdowningville Away Down East In The State Of Maine,1833,"https://archive.org/details/texts?&and[]=The%20Life%20And%20Writings%20Of%20Major%20Jack%20Downing%20Pseud%20Ofdowningville%20Away%20Down%20East%20In%20The%20State%20Of%20Maine&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2701,Smith,Seba,The Select Letters Of Major Jack Downing,1834,"https://archive.org/details/texts?&and[]=The%20Select%20Letters%20Of%20Major%20Jack%20Downing&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smith"""
2702,Smythies,Harriette,Acquitted A Novel,1870,"https://archive.org/details/texts?&and[]=Acquitted%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smythies"""
2703,Smythies,Harriette,Cousin Geoffrey The Old Bachelor A Novel To Which Is Added Claude Stocq,1840,"https://archive.org/details/texts?&and[]=Cousin%20Geoffrey%20The%20Old%20Bachelor%20A%20Novel%20To%20Which%20Is%20Added%20Claude%20Stocq&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smythies"""
2704,Smythies,Harriette,The Breach Of Promise A Novel,1845,"https://archive.org/details/texts?&and[]=The%20Breach%20Of%20Promise%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smythies"""
2705,Smythies,Harriette,The Daily Governess Or Selfdependence,1861,"https://archive.org/details/texts?&and[]=The%20Daily%20Governess%20Or%20Selfdependence&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Smythies"""
2706,Solly,Henry,Gerald And His Friend The Doctor A Record Of The Experiences Of Certain Young Men,1874,"https://archive.org/details/texts?&and[]=Gerald%20And%20His%20Friend%20The%20Doctor%20A%20Record%20Of%20The%20Experiences%20Of%20Certain%20Young%20Men&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Solly"""
2707,Solly,Henry,James Woodford Carpenter And Chartist,1881,"https://archive.org/details/texts?&and[]=James%20Woodford%20Carpenter%20And%20Chartist&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Solly"""
2708,Solly,Henry,Lady Stella And Her Lover,1888,"https://archive.org/details/texts?&and[]=Lady%20Stella%20And%20Her%20Lover&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Solly"""
