,verb,coeff_percentage,coeff_count_number,coeff_NSC
113,keep,0.6163726878099904,0.9372579147860048,0.0
114,kept,0.606963459823838,0.9378231699500021,0.0
115,kissed,0.43292285369098316,0.7994440356471257,-0.038
116,knew,0.7314464426820408,0.9588643738465223,-0.0996
117,know,0.6983981123494414,1.0039252229640931,-0.0276
118,known,0.5554038821605995,0.8264362401130642,-0.0097
119,knows,0.6837068348435388,1.130565347956653,0.0293
120,laid,0.5628189541756221,0.8527267353071584,-0.0069
121,laughed,0.5217550212285423,0.8417277029267263,-0.0135
122,lay,0.49948942865310264,0.8169275491949911,-0.0319
123,leaned,0.3951963094780955,0.6635638297872339,-0.0245
124,learned,0.4829910753538692,0.7403384027914937,-0.0002
125,leave,0.6870293790569612,1.02948602135594,0.015
126,led,0.6139590776087849,1.1138944824808703,0.0467
127,left,0.9239282857487747,1.3359517419980758,0.0823
128,let,0.6459320101466133,0.9552710703325994,-0.001
129,lifted,0.47752442822579766,0.7687774763820033,0.0
130,like,0.5737154046909292,0.8530548664397395,-0.0193
131,liked,0.5986486046772942,0.8389606374939889,-0.0241
132,likes,0.46367464905628186,0.782044887780549,0.0
133,listen,0.29157781598755605,0.5413479052823319,-0.037000000000000005
134,listened,0.41837960619134473,0.679555270222949,-0.07200000000000001
135,live,0.5044348480481156,0.8032888999626262,0.0
136,lived,0.5341096843682523,0.8847149282609245,-0.0165
137,lives,0.3100766108155978,0.6922905027932958,0.0
138,look,0.6237319953544529,0.9277744911832781,-0.0348
139,looked,0.7162771880557695,0.9688619549840367,-0.1184
140,looking,0.4329953263753094,0.7158838071693447,-0.0227
141,looks,0.493727153922182,0.7877690685552863,-0.0248
142,lost,0.6097776868024359,0.9370191507077438,0.0091
143,love,0.39964097466898113,0.7541108986615674,-0.0832
144,loved,0.5414168288855952,0.9287792671335184,-0.109
145,loves,0.38226369631145507,0.7613127240143367,-0.0354
146,made,0.9589314593613352,1.2941820992183446,0.0798
147,make,0.8821724313407735,1.2176390455404356,0.0477
148,makes,0.5269429253451151,0.8974269819193325,0.0087
149,married,0.4477787187424267,0.8068268705625341,-0.0142
150,marry,0.42505714673778777,0.8060232392696229,-0.0406
151,meant,0.7668950672012329,1.1441395229546032,0.0469
152,meet,0.5143262595502348,0.7995736516734175,-0.0034
153,met,0.6951874098652324,1.0012247016087181,0.0208
